127.0.0.1 - - [20/Nov/2022:22:48:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:20 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16765
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:20 +0530] "GET /Online_FIR_System/images/logo.png HTTP/1.1" 200 186124
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/ethana1.jpg HTTP/1.1" 200 28609
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/1.jpg HTTP/1.1" 200 233152
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/2.jpg HTTP/1.1" 200 78034
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/4.jpg HTTP/1.1" 200 54472
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/3.jpg HTTP/1.1" 200 28300
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/tender-ico.png HTTP/1.1" 200 10014
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/5.jpg HTTP/1.1" 200 58473
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/go-ico.png HTTP/1.1" 200 11133
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/circular.png HTTP/1.1" 200 9412
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/welfare-ico.png HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/act-ico.png HTTP/1.1" 200 9216
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/crime_icon.png HTTP/1.1" 200 7692
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:21 +0530] "GET /Online_FIR_System/images/bg.jpg HTTP/1.1" 200 17296
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:32 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16765
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:32 +0530] "GET /Online_FIR_System/images/ethana1.jpg HTTP/1.1" 200 28609
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:32 +0530] "GET /Online_FIR_System/images/logo.png HTTP/1.1" 200 186124
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/2.jpg HTTP/1.1" 200 78034
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/1.jpg HTTP/1.1" 200 233152
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/3.jpg HTTP/1.1" 200 28300
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/4.jpg HTTP/1.1" 200 54472
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/5.jpg HTTP/1.1" 200 58473
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/tender-ico.png HTTP/1.1" 200 10014
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/circular.png HTTP/1.1" 200 9412
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/welfare-ico.png HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/go-ico.png HTTP/1.1" 200 11133
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/act-ico.png HTTP/1.1" 200 9216
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/crime_icon.png HTTP/1.1" 200 7692
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /Online_FIR_System/images/bg.jpg HTTP/1.1" 200 17296
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:48:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:50:04 +0530] "GET /Online_FIR_System/Welcome.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:50:04 +0530] "GET /Online_FIR_System/Welcome.jsp HTTP/1.1" 200 16733
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:50:06 +0530] "GET /Online_FIR_System/Welcome.jsp HTTP/1.1" 200 16733
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:50:50 +0530] "GET /Online_FIR_System/Welcome.jsp HTTP/1.1" 200 16701
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:54:05 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16970
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:56:01 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16979
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:56:15 +0530] "GET /Online_FIR_System/trackComplaint HTTP/1.1" 200 12423
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:57:04 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16979
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:59:42 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17006
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:59:43 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17006
0:0:0:0:0:0:0:1 - - [20/Nov/2022:22:59:45 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17006
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:00:08 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:00:09 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:00:10 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:00:11 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17010
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:00:43 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16987
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:00:44 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16987
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:01:01 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16984
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:01:02 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16984
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:01:42 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:01:43 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:01:44 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:01:45 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:02:20 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:02:21 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:02:22 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:02:38 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16981
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:02:40 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16981
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:02:41 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16981
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:02:42 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16981
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:02:43 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16981
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:03:11 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:03:12 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:03:46 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 16991
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:04:18 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17007
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:04:52 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17019
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:04:53 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17019
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:05:09 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17015
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:06:47 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17190
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:07:20 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17202
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:08:01 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17262
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:10:57 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17489
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:12:17 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17681
